供应商代码（三位缩写）,中文名称,邮件种类,原寄局,寄达局,适用合同,结算方式,板号,账务时期,运能编码,收费路由,航班,来账重量,费率,金额,邮方确认重量,邮方确认费率,邮方确认金额
CP001,天泽物流,EA,CNSZXD,GBCVTA,,单价,,202508,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,2.9,54.0,156.6,,,
CP001,天泽物流,EA,CNSZXD,MXMEXE,,单价,,202508,6102025,HKG-(KUL)-(LHR)-MEX,ZK001AK139-MH004-AM008,35.3,84.0,2965.2,,,
CP001,天泽物流,EA,CNSZXD,BRCWBA,,单价,,202508,6102016,HKG-(IST)-GRU,ZK001TK071-TK015,37.8,84.0,3175.2,,,
CP001,天泽物流,EA,CNSZXD,BRSAOD,,单价,,202508,6102016,HKG-(IST)-GRU,ZK001TK071-TK015,17.0,84.0,1428.0,,,
CP001,天泽物流,LA,CNSZXA,BRCWBA,,单价,,202508,6102016,HKG-(IST)-GRU,ZK001TK071-TK015,1.3,84.0,109.2,,,
CP001,天泽物流,EA,CNSZXD,USJFKF,,单价,,202508,6102042,HKG-(TPE)-JFK,ZK001CI920-CI012,3.1,60.0,186.0,,,
CP001,天泽物流,EA,CNSZXD,USLAXF,,单价,,202508,6102043,HKG-(TPE)-LAX,ZK001JX236-JX002,12.8,60.0,768.0,,,
CP001,天泽物流,EA,CNSZXY,USJFKF,,单价,,202508,6102042,HKG-(TPE)-JFK,ZK001CI920-CI012,3.8,60.0,228.0,,,
CP001,天泽物流,EA,CNSZXY,USLAXF,,单价,,202508,6102043,HKG-(TPE)-LAX,ZK001JX236-JX002,7.5,60.0,450.0,,,
CP001,天泽物流,LA,CNCANA,ITMXPB,,单价,,202508,5904109,HKG-(DXB)-MXP,ZK001EK381-EK091,0.3,60.0,18.0,,,
CP001,天泽物流,LA,CNCANA,DEFRAA,,单价,,202508,6102015,HKG-(TPE)-FRA,ZK001CI920-CI061,0.4,60.0,24.0,,,
CP001,天泽物流,EA,CNSZXD,CAYVRA,,单价,,202508,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,4.4,75.0,330.0,,,
CP001,天泽物流,LA,CNSZXA,MXMEXD,,单价,,202508,6102025,HKG-(KUL)-(LHR)-MEX,ZK001AK139-MH004-AM008,1.4,84.0,117.6,,,
