邮件种类,承运人名称,Barcode,CN38时间,接收扫描时间,启运地点,启运时间,中转到达地点,中转到达时间,中转启运时间,到达地点,目的地到达时间,目的地交邮时间,收费路由,航班,重量,费率,金额,币种,账务时期,账单编号,备注,运能编码,箱板类型,集装器号（板号）
EA,天泽物流,CNCANDAUSYDBAEN51274011000080,20250421,20250421,HKG,20250424,,,,SYD,20250427,20250427,HKG-(TPE)-SYD,ZK001CI920-CI051,8.000,41.00,328.00,RMB,202504,,,6102037,D,
EA,天泽物流,CNCANDAUSYDBAEN51274017000048,20250421,20250421,HKG,20250424,,,,SYD,20250427,20250427,HKG-(TPE)-SYD,ZK001CI920-CI051,4.800,41.00,196.80,RMB,202504,,,6102037,D,
EA,天泽物流,CNCANDAUSYDBAEN51274021000012,20250421,20250421,HKG,20250424,,,,SYD,20250427,20250427,HKG-(TPE)-SYD,ZK001CI920-CI051,1.200,41.00,49.20,RMB,202504,,,6102037,D,
EA,天泽物流,CNCANDAUSYDBAEN51274025000013,20250421,20250421,HKG,20250424,,,,SYD,20250427,20250427,HKG-(TPE)-SYD,ZK001CI920-CI051,1.300,41.00,53.30,RMB,202504,,,6102037,D,
EA,天泽物流,CNCANDAUSYDBAEN51274028000016,20250421,20250421,HKG,20250424,,,,SYD,20250427,20250427,HKG-(TPE)-SYD,ZK001CI920-CI051,1.600,41.00,65.60,RMB,202504,,,6102037,D,
EA,天泽物流,CNCANDAUSYDBAEN51274030000075,20250421,20250421,HKG,20250424,,,,SYD,20250427,20250427,HKG-(TPE)-SYD,ZK001CI920-CI051,7.500,41.00,307.50,RMB,202504,,,6102037,D,
EA,天泽物流,CNCANDAUSYDBAEN51276002000075,20250421,20250421,HKG,20250424,,,,SYD,20250427,20250427,HKG-(TPE)-SYD,ZK001CI920-CI051,7.500,41.00,307.50,RMB,202504,,,6102037,D,
EA,天泽物流,CNCANDCAYTOAAEN50711001000059,20250421,20250421,HKG,20250422,,,,YYZ,20250426,20250426,HKG-(YVR)-YYZ,ZK001AC008-AC126,5.900,81.00,477.90,RMB,202504,,,6102046,D,
EA,天泽物流,CNCANDCAYTOBAUX56056002000161,20250421,20250421,HKG,20250422,,,,YYZ,20250426,20250426,HKG-(YVR)-YYZ,ZK001AC008-AC126,16.100,81.00,1304.10,RMB,202504,,,6102046,D,
EA,天泽物流,CNCANDCAYTOBAUX56056003000210,20250421,20250421,HKG,20250422,,,,YYZ,20250426,20250426,HKG-(YVR)-YYZ,ZK001AC008-AC126,21.000,81.00,1701.00,RMB,202504,,,6102046,D,
EA,天泽物流,CNCANDCAYVRAAEN50693003100009,20250421,20250421,HKG,20250424,,,,YVR,20250427,20250427,HKG-(TPE)-YVR,ZK001CI920-CI032,0.900,75.00,67.50,RMB,202504,,,6102045,D,
EA,天泽物流,CNCANDCAYVRBAUX55743002100185,20250421,20250421,HKG,20250424,,,,YVR,20250427,20250427,HKG-(TPE)-YVR,ZK001CI920-CI032,18.500,75.00,1387.50,RMB,202504,,,6102045,D,
EA,天泽物流,CNCANDCAYVRBAUX55750001100004,20250421,20250421,HKG,20250424,,,,YVR,20250427,20250427,HKG-(TPE)-YVR,ZK001CI920-CI032,0.400,75.00,30.00,RMB,202504,,,6102045,D,
EA,天泽物流,CNCANDGBLALAAUX56245003000117,20250421,20250421,HKG,20250422,,,,LHR,20250426,20250426,HKG-(KUL)-LHR,ZK001AK139-MH004,11.700,54.00,631.80,RMB,202504,,,6102044,D,
EA,天泽物流,CNCANDGBLALAAUX56254003000125,20250421,20250421,HKG,20250422,,,,LHR,20250426,20250426,HKG-(KUL)-LHR,ZK001AK139-MH004,12.500,54.00,675.00,RMB,202504,,,6102044,D,
EA,天泽物流,CNCANDGBLALAAUX56261002000119,20250421,20250421,HKG,20250422,,,,LHR,20250426,20250426,HKG-(KUL)-LHR,ZK001AK139-MH004,11.900,54.00,642.60,RMB,202504,,,6102044,D,
EA,天泽物流,CNCANDJPKIXAAEM55706001000009,20250421,20250421,HKG,20250424,,,,KIX,20250425,20250425,HKG-(TPE)-KIX,ZK001CI920-JX820,0.900,18.00,16.20,RMB,202504,,,6102020,D,
EA,天泽物流,CNCANDJPKIXAAEM55706002000015,20250421,20250421,HKG,20250424,,,,KIX,20250425,20250425,HKG-(TPE)-KIX,ZK001CI920-JX820,1.500,18.00,27.00,RMB,202504,,,6102020,D,
EA,天泽物流,CNCANDJPKIXAAEM55706004000009,20250421,20250421,HKG,20250424,,,,KIX,20250425,20250425,HKG-(TPE)-KIX,ZK001CI920-JX820,0.900,18.00,16.20,RMB,202504,,,6102020,D,
EA,天泽物流,CNCANDJPKIXAAEM55706007000049,20250421,20250421,HKG,20250424,,,,KIX,20250425,20250425,HKG-(TPE)-KIX,ZK001CI920-JX820,4.900,18.00,88.20,RMB,202504,,,6102020,D,
EA,天泽物流,CNCANDJPKIXAAEM55706012000030,20250421,20250421,HKG,20250424,,,,KIX,20250425,20250425,HKG-(TPE)-KIX,ZK001CI920-JX820,3.000,18.00,54.00,RMB,202504,,,6102020,D,
EA,天泽物流,CNCANDJPKIXAAEM55706021000212,20250421,20250421,HKG,20250424,,,,KIX,20250425,20250425,HKG-(TPE)-KIX,ZK001CI920-JX820,21.200,18.00,381.60,RMB,202504,,,6102020,D,
EA,天泽物流,CNCANDJPKIXAAEM55706023000212,20250421,20250421,HKG,20250424,,,,KIX,20250425,20250425,HKG-(TPE)-KIX,ZK001CI920-JX820,21.200,18.00,381.60,RMB,202504,,,6102020,D,
EA,天泽物流,CNCANDJPKIXAAEM55706027000011,20250421,20250421,HKG,20250424,,,,KIX,20250425,20250425,HKG-(TPE)-KIX,ZK001CI920-JX820,1.100,18.00,19.80,RMB,202504,,,6102020,D,
EA,天泽物流,CNCANDJPKWSAAUY51523002000190,20250421,20250421,HKG,20250424,,,,NRT,20250425,20250425,HKG-(TPE)-NRT,ZK001CI920-JX804,19.000,18.00,342.00,RMB,202504,,,6102029,D,
EA,天泽物流,CNCANDJPKWSAAUY51523011000137,20250421,20250421,HKG,20250424,,,,NRT,20250425,20250425,HKG-(TPE)-NRT,ZK001CI920-JX804,13.700,18.00,246.60,RMB,202504,,,6102029,D,
EA,天泽物流,CNCANDJPKWSAAUY51526001000166,20250421,20250421,HKG,20250424,,,,NRT,20250425,20250425,HKG-(TPE)-NRT,ZK001CI920-JX804,16.600,18.00,298.80,RMB,202504,,,6102029,D,
EA,天泽物流,CNCANDJPKWSAAUY51530001000079,20250421,20250421,HKG,20250424,,,,NRT,20250425,20250425,HKG-(TPE)-NRT,ZK001CI920-JX804,7.900,18.00,142.20,RMB,202504,,,6102029,D,
EA,天泽物流,CNCANDJPKWSAAUY51534001000155,20250421,20250421,HKG,20250424,,,,NRT,20250425,20250425,HKG-(TPE)-NRT,ZK001CI920-JX804,15.500,18.00,279.00,RMB,202504,,,6102029,D,
EA,天泽物流,CNCANDJPKWSAAUY51537001100003,20250421,20250421,HKG,20250424,,,,NRT,20250425,20250425,HKG-(TPE)-NRT,ZK001CI920-JX804,0.300,18.00,5.40,RMB,202504,,,6102029,D,
EA,天泽物流,CNCANDJPTYOAAEM56019006000080,20250421,20250421,HKG,20250424,,,,NRT,20250425,20250425,HKG-(TPE)-NRT,ZK001CI920-JX804,8.000,18.00,144.00,RMB,202504,,,6102029,D,
EA,天泽物流,CNCANDJPTYOAAEM56020008000012,20250421,20250421,HKG,20250424,,,,NRT,20250425,20250425,HKG-(TPE)-NRT,ZK001CI920-JX804,1.200,18.00,21.60,RMB,202504,,,6102029,D,
EA,天泽物流,CNCANDJPTYOAAEM56020009000010,20250421,20250421,HKG,20250424,,,,NRT,20250425,20250425,HKG-(TPE)-NRT,ZK001CI920-JX804,1.000,18.00,18.00,RMB,202504,,,6102029,D,
EA,天泽物流,CNCANDJPTYOAAEM56020013000005,20250421,20250421,HKG,20250424,,,,NRT,20250425,20250425,HKG-(TPE)-NRT,ZK001CI920-JX804,0.500,18.00,9.00,RMB,202504,,,6102029,D,
EA,天泽物流,CNCANDJPTYOAAEM56020015000005,20250421,20250421,HKG,20250424,,,,NRT,20250425,20250425,HKG-(TPE)-NRT,ZK001CI920-JX804,0.500,18.00,9.00,RMB,202504,,,6102029,D,
EA,天泽物流,CNCANDJPTYOAAEM56020017000011,20250421,20250421,HKG,20250424,,,,NRT,20250425,20250425,HKG-(TPE)-NRT,ZK001CI920-JX804,1.100,18.00,19.80,RMB,202504,,,6102029,D,
EA,天泽物流,CNCANDJPTYOAAEM56020021000080,20250421,20250421,HKG,20250424,,,,NRT,20250425,20250425,HKG-(TPE)-NRT,ZK001CI920-JX804,8.000,18.00,144.00,RMB,202504,,,6102029,D,
EA,天泽物流,CNCANDJPTYOAAEM56020028000019,20250421,20250421,HKG,20250424,,,,NRT,20250425,20250425,HKG-(TPE)-NRT,ZK001CI920-JX804,1.900,18.00,34.20,RMB,202504,,,6102029,D,
EA,天泽物流,CNCANDJPTYOAAEM56020031000021,20250421,20250421,HKG,20250424,,,,NRT,20250425,20250425,HKG-(TPE)-NRT,ZK001CI920-JX804,2.100,18.00,37.80,RMB,202504,,,6102029,D,
EA,天泽物流,CNCANDJPTYOAAEM56020037000019,20250421,20250421,HKG,20250424,,,,NRT,20250425,20250425,HKG-(TPE)-NRT,ZK001CI920-JX804,1.900,18.00,34.20,RMB,202504,,,6102029,D,
EA,天泽物流,CNCANDKRSELBAEM55339003000043,20250421,20250421,HKG,20250424,,,,ICN,20250425,20250425,HKG-(TPE)-ICN,ZK001CI920-7C2602,4.300,18.00,77.40,RMB,202504,,,6102018,D,
EA,天泽物流,CNCANDKRSELBAEM55339006000013,20250421,20250421,HKG,20250424,,,,ICN,20250425,20250425,HKG-(TPE)-ICN,ZK001CI920-7C2602,1.300,18.00,23.40,RMB,202504,,,6102018,D,
EA,天泽物流,CNCANDKRSELBAEM55339010000010,20250421,20250421,HKG,20250424,,,,ICN,20250425,20250425,HKG-(TPE)-ICN,ZK001CI920-7C2602,1.000,18.00,18.00,RMB,202504,,,6102018,D,
EA,天泽物流,CNCANDKRSELBAEM55339012000021,20250421,20250421,HKG,20250424,,,,ICN,20250425,20250425,HKG-(TPE)-ICN,ZK001CI920-7C2602,2.100,18.00,37.80,RMB,202504,,,6102018,D,
EA,天泽物流,CNCANDKRSELBAEM55339016000021,20250421,20250421,HKG,20250424,,,,ICN,20250425,20250425,HKG-(TPE)-ICN,ZK001CI920-7C2602,2.100,18.00,37.80,RMB,202504,,,6102018,D,
EA,天泽物流,CNCANDKRSELBAEM55339018000017,20250421,20250421,HKG,20250424,,,,ICN,20250425,20250425,HKG-(TPE)-ICN,ZK001CI920-7C2602,1.700,18.00,30.60,RMB,202504,,,6102018,D,
EA,天泽物流,CNCANDKRSELBAEM55339019000020,20250421,20250421,HKG,20250424,,,,ICN,20250425,20250425,HKG-(TPE)-ICN,ZK001CI920-7C2602,2.000,18.00,36.00,RMB,202504,,,6102018,D,
EA,天泽物流,CNCANDKRSELBAEM55339023000021,20250421,20250421,HKG,20250424,,,,ICN,20250425,20250425,HKG-(TPE)-ICN,ZK001CI920-7C2602,2.100,18.00,37.80,RMB,202504,,,6102018,D,
EA,天泽物流,CNCANDKRSELBAEM55339025000027,20250421,20250421,HKG,20250424,,,,ICN,20250425,20250425,HKG-(TPE)-ICN,ZK001CI920-7C2602,2.700,18.00,48.60,RMB,202504,,,6102018,D,
EA,天泽物流,CNCANDKRSELBAEM55339028000020,20250421,20250421,HKG,20250424,,,,ICN,20250425,20250425,HKG-(TPE)-ICN,ZK001CI920-7C2602,2.000,18.00,36.00,RMB,202504,,,6102018,D,
EA,天泽物流,CNCANDKRSELBAEM55339034100028,20250421,20250421,HKG,20250424,,,,ICN,20250425,20250425,HKG-(TPE)-ICN,ZK001CI920-7C2602,2.800,18.00,50.40,RMB,202504,,,6102018,D,
EA,天泽物流,CNCANDKRSELBAEZ50395003000022,20250421,20250421,HKG,20250424,,,,ICN,20250425,20250425,HKG-(TPE)-ICN,ZK001CI920-7C2602,2.200,18.00,39.60,RMB,202504,,,6102018,D,
EA,天泽物流,CNCANDKRSELBAEZ50395005000075,20250421,20250421,HKG,20250424,,,,ICN,20250425,20250425,HKG-(TPE)-ICN,ZK001CI920-7C2602,7.500,18.00,135.00,RMB,202504,,,6102018,D,
